country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,Num female infection,populationin1000sM,Num male infection,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Country begin,Bin 0-19,Bin 20-49,Bin 50-79,Bin 80+,Total
Brazil,7/26/2021,65-69,65,69,14643,21143,4034,4034000,3394,3394000,7428000,35786,54.31,45.69,40.92,59.08,,0,0,1,0,0
Brazil,7/26/2021,70-74,70,74,15505,22242,2958,2958000,2351,2351000,5309000,37747,55.72,44.28,41.08,58.92,,0,0,1,0,0
Brazil,7/26/2021,75-79,75,79,14614,19996,2011,2011000,1481,1481000,3492000,34610,57.59,42.41,42.22,57.78,,0,0,1,0,0
Brazil,7/26/2021,80+,80,999,34517,37348,2610,2610000,1549,1549000,4159000,71865,62.76,37.24,48.03,51.97,,0,0,0,1,0
Brazil,,,,,121516,166536,108123,108123000,104436,104436000,212559000,288052,50.87,49.13,42.19,57.81,,0,0,0,0,1
Brunei Darussalam,3/28/2022,0-4,0,4,0,0,15,15000,16,16000,31000,0,48.39,51.61,,,,1,0,0,0,0
Brunei Darussalam,3/28/2022,9-May,5,9,0,0,17,17000,18,18000,35000,0,48.57,51.43,,,,1,0,0,0,0
Brunei Darussalam,3/28/2022,14-Oct,10,14,0,0,15,15000,16,16000,31000,0,48.39,51.61,,,,1,0,0,0,0
Brunei Darussalam,3/28/2022,15-19,15,19,1,0,16,16000,17,17000,33000,1,48.48,51.52,100,0,,1,0,0,0,0
Brunei Darussalam,3/28/2022,20-29,20,29,1,1,33,33000,37,37000,70000,2,47.14,52.86,50,50,,0,1,0,0,0
Brunei Darussalam,3/28/2022,30-39,30,39,2,1,36,36000,41,41000,77000,3,46.75,53.25,66.67,33.33,,0,1,0,0,0
Brunei Darussalam,3/28/2022,40-49,40,49,5,10,33,33000,35,35000,68000,15,48.53,51.47,33.33,66.67,,0,1,0,0,0
Brunei Darussalam,3/28/2022,50-59,50,59,8,12,24,24000,26,26000,50000,20,48,52,40,60,,0,0,1,0,0
Brunei Darussalam,3/28/2022,60-64,60,64,4,3,8,8000,9,9000,17000,7,47.06,52.94,57.14,42.86,,0,0,1,0,0
Brunei Darussalam,3/28/2022,65-69,65,69,3,5,6,6000,6,6000,12000,8,50,50,37.5,62.5,,0,0,1,0,0
Brunei Darussalam,3/28/2022,70-74,70,74,2,4,3,3000,3,3000,6000,6,50,50,33.33,66.67,,0,0,1,0,0
Brunei Darussalam,3/28/2022,75-79,75,79,0,7,2,2000,2,2000,4000,7,50,50,0,100,,0,0,1,0,0
Brunei Darussalam,3/28/2022,80+,80,999,12,12,2,2000,2,2000,4000,24,50,50,50,50,,0,0,0,1,0
Brunei Darussalam,,,,,38,55,210,210000,228,228000,438000,93,47.95,52.05,40.86,59.14,,0,0,0,0,1
Cabo Verde,12/27/2020,9-May,5,9,0,0,26,26000,27,27000,53000,0,49.06,50.94,,,,1,0,0,0,0
Cabo Verde,12/27/2020,14-Oct,10,14,0,0,25,25000,26,26000,51000,0,49.02,50.98,,,,1,0,0,0,0
Cabo Verde,12/27/2020,15-19,15,19,0,1,24,24000,25,25000,49000,1,48.98,51.02,0,100,,1,0,0,0,0
Cabo Verde,12/27/2020,20-24,20,24,0,0,23,23000,24,24000,47000,0,48.94,51.06,,,,0,1,0,0,0
